firm_id,year,treat,post,did,tfp,ln_tfp,size,age,lev,roa,province,industry,score
1,2010,1,0,0,2.6101,0.9594,11.29,20,0.139,0.0369,广东,制造,45.5
1,2011,1,0,0,2.7713,1.0193,11.29,20,0.139,0.0369,广东,制造,45.5
1,2012,1,0,0,2.4548,0.8981,11.29,20,0.139,0.0369,广东,制造,45.5
1,2013,1,0,0,2.4905,0.9125,11.29,20,0.139,0.0369,广东,制造,45.5
1,2014,1,0,0,2.7915,1.0266,11.29,20,0.139,0.0369,广东,制造,45.5
1,2015,1,1,1,2.888,1.0605,11.29,20,0.139,0.0369,广东,制造,45.5
1,2016,1,1,1,2.927,1.074,11.29,20,0.139,0.0369,广东,制造,45.5
1,2017,1,1,1,2.7893,1.0258,11.29,20,0.139,0.0369,广东,制造,45.5
1,2018,1,1,1,2.9396,1.0783,11.29,20,0.139,0.0369,广东,制造,45.5
1,2019,1,1,1,3.1623,1.1513,11.29,20,0.139,0.0369,广东,制造,45.5
1,2020,1,1,1,3.0643,1.1198,11.29,20,0.139,0.0369,广东,制造,45.5
2,2010,0,0,0,2.3787,0.8666,9.21,7,0.296,0.0356,北京,科技,71.6
2,2011,0,0,0,2.4032,0.8768,9.21,7,0.296,0.0356,北京,科技,71.6
2,2012,0,0,0,2.2497,0.8108,9.21,7,0.296,0.0356,北京,科技,71.6
2,2013,0,0,0,2.5084,0.9196,9.21,7,0.296,0.0356,北京,科技,71.6
2,2014,0,0,0,2.5872,0.9506,9.21,7,0.296,0.0356,北京,科技,71.6
2,2015,0,1,0,2.3651,0.8608,9.21,7,0.296,0.0356,北京,科技,71.6
2,2016,0,1,0,2.4765,0.9068,9.21,7,0.296,0.0356,北京,科技,71.6
2,2017,0,1,0,2.4469,0.8948,9.21,7,0.296,0.0356,北京,科技,71.6
2,2018,0,1,0,2.4861,0.9107,9.21,7,0.296,0.0356,北京,科技,71.6
2,2019,0,1,0,2.608,0.9586,9.21,7,0.296,0.0356,北京,科技,71.6
2,2020,0,1,0,2.4142,0.8814,9.21,7,0.296,0.0356,北京,科技,71.6
3,2010,1,0,0,2.659,0.9779,9.99,22,0.334,0.0737,广东,科技,50.8
3,2011,1,0,0,2.5785,0.9472,9.99,22,0.334,0.0737,广东,科技,50.8
3,2012,1,0,0,2.3755,0.8652,9.99,22,0.334,0.0737,广东,科技,50.8
3,2013,1,0,0,2.5439,0.9337,9.99,22,0.334,0.0737,广东,科技,50.8
3,2014,1,0,0,2.7869,1.0249,9.99,22,0.334,0.0737,广东,科技,50.8
3,2015,1,1,1,2.5558,0.9384,9.99,22,0.334,0.0737,广东,科技,50.8
3,2016,1,1,1,2.8188,1.0363,9.99,22,0.334,0.0737,广东,科技,50.8
3,2017,1,1,1,2.7556,1.0136,9.99,22,0.334,0.0737,广东,科技,50.8
3,2018,1,1,1,2.974,1.0899,9.99,22,0.334,0.0737,广东,科技,50.8
3,2019,1,1,1,2.8461,1.0459,9.99,22,0.334,0.0737,广东,科技,50.8
3,2020,1,1,1,2.974,1.0899,9.99,22,0.334,0.0737,广东,科技,50.8
4,2010,1,0,0,2.7705,1.019,9.67,27,0.221,0.095,北京,科技,75.4
4,2011,1,0,0,2.5865,0.9503,9.67,27,0.221,0.095,北京,科技,75.4
4,2012,1,0,0,2.6644,0.98,9.67,27,0.221,0.095,北京,科技,75.4
4,2013,1,0,0,2.4983,0.9156,9.67,27,0.221,0.095,北京,科技,75.4
4,2014,1,0,0,2.7859,1.0246,9.67,27,0.221,0.095,北京,科技,75.4
4,2015,1,1,1,2.7608,1.0155,9.67,27,0.221,0.095,北京,科技,75.4
4,2016,1,1,1,2.8008,1.0299,9.67,27,0.221,0.095,北京,科技,75.4
4,2017,1,1,1,2.8746,1.0559,9.67,27,0.221,0.095,北京,科技,75.4
4,2018,1,1,1,2.7405,1.0082,9.67,27,0.221,0.095,北京,科技,75.4
4,2019,1,1,1,2.9397,1.0783,9.67,27,0.221,0.095,北京,科技,75.4
4,2020,1,1,1,3.0336,1.1097,9.67,27,0.221,0.095,北京,科技,75.4
5,2010,0,0,0,2.367,0.8616,10.68,26,0.32,0.0362,江苏,服务,66.5
5,2011,0,0,0,2.5335,0.9296,10.68,26,0.32,0.0362,江苏,服务,66.5
5,2012,0,0,0,2.6401,0.9708,10.68,26,0.32,0.0362,江苏,服务,66.5
5,2013,0,0,0,2.3981,0.8747,10.68,26,0.32,0.0362,江苏,服务,66.5
5,2014,0,0,0,2.4984,0.9157,10.68,26,0.32,0.0362,江苏,服务,66.5
5,2015,0,1,0,2.7135,0.9983,10.68,26,0.32,0.0362,江苏,服务,66.5
5,2016,0,1,0,2.6729,0.9832,10.68,26,0.32,0.0362,江苏,服务,66.5
5,2017,0,1,0,2.7071,0.9959,10.68,26,0.32,0.0362,江苏,服务,66.5
5,2018,0,1,0,2.8718,1.0549,10.68,26,0.32,0.0362,江苏,服务,66.5
5,2019,0,1,0,2.7527,1.0126,10.68,26,0.32,0.0362,江苏,服务,66.5
5,2020,0,1,0,2.7917,1.0266,10.68,26,0.32,0.0362,江苏,服务,66.5
6,2010,1,0,0,3.2463,1.1775,12.81,5,0.62,0.0373,上海,制造,44.5
6,2011,1,0,0,3.2079,1.1656,12.81,5,0.62,0.0373,上海,制造,44.5
6,2012,1,0,0,3.3505,1.2091,12.81,5,0.62,0.0373,上海,制造,44.5
6,2013,1,0,0,3.3716,1.2154,12.81,5,0.62,0.0373,上海,制造,44.5
6,2014,1,0,0,3.2951,1.1924,12.81,5,0.62,0.0373,上海,制造,44.5
6,2015,1,1,1,3.4145,1.228,12.81,5,0.62,0.0373,上海,制造,44.5
6,2016,1,1,1,3.7687,1.3267,12.81,5,0.62,0.0373,上海,制造,44.5
6,2017,1,1,1,3.5904,1.2783,12.81,5,0.62,0.0373,上海,制造,44.5
6,2018,1,1,1,3.5045,1.254,12.81,5,0.62,0.0373,上海,制造,44.5
6,2019,1,1,1,3.6893,1.3054,12.81,5,0.62,0.0373,上海,制造,44.5
6,2020,1,1,1,3.6068,1.2828,12.81,5,0.62,0.0373,上海,制造,44.5
7,2010,1,0,0,2.4564,0.8987,10.18,11,0.11,0.0594,上海,科技,73.3
7,2011,1,0,0,2.2909,0.829,10.18,11,0.11,0.0594,上海,科技,73.3
7,2012,1,0,0,2.4754,0.9064,10.18,11,0.11,0.0594,上海,科技,73.3
7,2013,1,0,0,2.6514,0.9751,10.18,11,0.11,0.0594,上海,科技,73.3
7,2014,1,0,0,2.5268,0.9269,10.18,11,0.11,0.0594,上海,科技,73.3
7,2015,1,1,1,2.6125,0.9603,10.18,11,0.11,0.0594,上海,科技,73.3
7,2016,1,1,1,2.6194,0.963,10.18,11,0.11,0.0594,上海,科技,73.3
